68,59,60
32,50,49
60,59,7
54,53,35
31,30,36
32,41,30
19,38,37
31,36,35
39,40,41
48,44,45
41,38,39
60,49,61
42,37,38
68,67,59
64,66,53
66,57,67
63,66,67
57,10,9
58,57,9
31,33,32
34,53,52
63,52,66
35,36,54
29,30,40
36,47,15
21,39,20
20,38,19
1,37,2
18,19,37
24,20,25
32,42,41
42,38,41
20,39,38
21,22,39
39,22,40
45,25,26
40,30,41
2,37,42
42,32,3
33,51,32
30,31,32
35,34,31
18,37,1
42,3,2
32,4,3
49,5,4
32,49,4
61,50,60
58,9,59
6,49,60
49,6,5
60,7,6
59,8,7
50,68,60
52,53,66
67,58,59
66,64,57
68,62,67
62,51,52
49,50,61
32,51,50
50,51,68
51,34,52
67,62,63
68,51,62
62,52,63
51,33,34
22,28,40
45,27,46
31,34,33
35,53,34
55,13,12
56,10,57
59,9,8
67,57,58
64,53,54
64,56,57
11,55,12
56,11,10
56,65,55
55,54,36
14,55,36
56,64,54
11,56,55
56,54,65
54,55,65
14,13,55
36,15,14
46,47,45
48,30,43
47,16,15
47,46,16
23,43,28
43,30,29
44,43,23
23,22,21
36,48,47
36,30,48
29,28,43
29,40,28
44,23,24
28,22,23
21,24,23
21,20,24
43,44,48
24,25,44
48,45,47
44,25,45
17,46,27
17,16,46
45,26,27
